triplet,name,huc,water_year,april1_swe,peak_swe,peak_date,n_days,has_midwinter
1014:CO:SNTL,Middle Fork Camp,140100010402,2001,,0.0,2001-09-30,1,False
1014:CO:SNTL,Middle Fork Camp,140100010402,2002,8.0,8.3,2002-03-25,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2003,13.1,14.2,2003-04-24,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2004,6.8,8.9,2004-03-17,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2005,9.4,9.4,2005-04-01,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2006,13.8,14.1,2006-04-03,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2007,10.7,11.3,2007-04-13,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2008,14.6,17.1,2008-04-12,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2009,12.0,14.0,2009-04-18,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2010,7.0,8.3,2010-04-08,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2011,14.2,15.4,2011-05-02,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2012,0.7,8.1,2012-03-03,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2013,8.8,11.5,2013-04-24,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2014,14.0,14.7,2014-04-07,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2015,8.2,10.2,2015-03-13,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2016,14.6,14.6,2016-03-31,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2017,9.0,11.6,2017-03-08,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2018,8.2,9.1,2018-04-09,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2019,11.8,12.8,2019-03-23,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2020,11.0,11.4,2020-03-27,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2021,10.2,10.2,2021-03-30,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2022,9.0,9.4,2022-04-14,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2023,13.2,13.3,2023-04-07,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2024,12.6,12.6,2024-04-01,366,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2025,10.3,11.8,2025-03-22,365,True
1014:CO:SNTL,Middle Fork Camp,140100010402,2026,0.0,6.2,2026-03-17,291,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2002,,0.0,2002-08-13,49,False
1030:CO:SNTL,Arapaho Ridge,140100010604,2003,18.8,24.3,2003-05-11,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2004,18.7,20.9,2004-04-25,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2005,21.5,25.5,2005-05-13,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2006,25.7,27.0,2006-04-18,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2007,18.8,20.9,2007-04-25,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2008,23.7,27.4,2008-04-12,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2009,20.8,25.0,2009-04-19,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2010,16.6,25.0,2010-05-15,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2011,29.6,36.6,2011-05-03,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2012,14.6,16.1,2012-03-05,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2013,17.8,23.1,2013-04-22,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2014,27.6,31.1,2014-05-16,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2015,16.6,19.6,2015-05-25,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2016,24.4,28.8,2016-05-11,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2017,24.3,26.9,2017-05-02,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2018,19.6,24.0,2018-04-24,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2019,25.2,26.9,2019-05-29,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2020,22.9,25.4,2020-04-26,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2021,20.4,21.8,2021-04-28,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2022,19.1,21.4,2022-05-04,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2023,25.4,28.8,2023-04-29,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2024,21.2,23.9,2024-05-10,366,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2025,20.4,21.0,2025-04-04,365,True
1030:CO:SNTL,Arapaho Ridge,140100010604,2026,10.2,13.8,2026-03-14,291,True
1040:CO:SNTL,Mccoy Park,140100030304,2003,13.7,14.7,2003-04-07,318,True
1040:CO:SNTL,Mccoy Park,140100030304,2004,7.8,12.0,2004-03-11,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2005,15.4,15.9,2005-04-06,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2006,14.9,15.3,2006-04-02,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2007,11.0,13.2,2007-03-11,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2008,17.5,21.1,2008-04-12,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2009,17.1,19.1,2009-04-06,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2010,11.3,13.0,2010-04-07,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2011,16.2,20.4,2011-05-02,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2012,3.2,8.8,2012-03-05,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2013,10.1,13.9,2013-04-23,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2014,16.9,17.8,2014-04-07,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2015,8.8,12.9,2015-03-07,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2016,15.5,15.6,2016-04-05,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2017,9.3,13.6,2017-03-08,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2018,8.7,10.0,2018-04-08,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2019,17.2,17.7,2019-03-24,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2020,14.0,14.6,2020-04-03,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2021,10.9,10.9,2021-03-31,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2022,14.8,16.3,2022-04-12,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2023,18.9,19.3,2023-04-04,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2024,17.0,17.0,2024-03-29,366,True
1040:CO:SNTL,Mccoy Park,140100030304,2025,13.1,13.9,2025-03-22,365,True
1040:CO:SNTL,Mccoy Park,140100030304,2026,0.2,6.8,2026-03-06,291,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2003,,0.0,2003-07-22,71,False
1041:CO:SNTL,Beaver Ck Village,140100030301,2004,5.1,9.0,2004-03-04,366,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2005,11.6,11.7,2005-03-30,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2006,12.1,12.2,2006-04-02,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2007,7.8,10.3,2007-03-10,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2008,15.0,17.1,2008-04-10,366,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2009,15.2,16.6,2009-04-04,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2010,8.9,10.4,2010-04-07,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2011,13.8,14.9,2011-04-30,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2012,2.5,7.7,2012-03-03,366,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2013,8.5,11.2,2013-04-20,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2014,14.6,15.4,2014-04-07,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2015,7.5,11.1,2015-03-05,365,True
1041:CO:SNTL,Beaver Ck Village,140100030301,2016,11.7,11.7,2016-03-31,366,True
